supplier_id,supplier_name,region,reliability_score,payment_terms,max_capacity,item_id,sku,description,commodity_category,unit_weight_kg,moq,baseline_cost_inr,unit_price_inr,lead_time_days,defect_rate_pct,qty_ordered,logistics_cost_inr,cost_per_defect_inr,penalty_per_day_inr
SUP-017,APL Apollo Tubes Ltd,Uttar Pradesh,85,Net 45,5707,ITM-030,SKU-OILSEAL-TC,TC Rotary Oil Seal 50×70×10,Seals & Gaskets,0.05,500,220,209.55,53,4.8987,1104,1201.49,332.84,696.97
SUP-025,Tube Investments of India,Tamil Nadu,82,Advance 50% Net 30,7461,ITM-032,SKU-FASTNR-M12,M12×50 Hex Bolt 8.8 Zinc (100pcs),Fasteners,1.1,500,380,366.57,13,3.031,532,4558.1,355.87,156.86
SUP-034,Grindwell Norton Ltd,Maharashtra,65,Net 30,10533,ITM-022,SKU-COMPOL-VG100,Compressor Oil VG100 50L,Lubricants & Fluids,47,20,7600,7620.57,26,4.784,20,1567.38,12206.6,208.65
SUP-051,Bosch Ltd (India),Karnataka,87,Net 15,308,ITM-021,SKU-CUTFL-SOL,Soluble Cutting Fluid Concentrate 25L,Lubricants & Fluids,24,50,4200,4258.57,7,2.4926,87,16908.33,8239.29,184.33
SUP-030,Lakshmi Machine Works,Tamil Nadu,83,Cash Against Documents,5763,ITM-025,SKU-ENDML-TIN12,TiN Coated End Mill 12mm 4-Flute,Abrasives & Tooling,0.08,200,620,544.49,8,4.4618,210,1417.62,574.47,206.34
SUP-048,NOCIL Ltd,Maharashtra,65,Advance 30% Net 60,413,ITM-024,SKU-DRLBIT-TCR10,Tungsten Carbide Drill Bit 10mm,Abrasives & Tooling,0.05,500,280,282.96,22,4.9249,500,1157.66,606.25,42.44
SUP-057,Finolex Industries Ltd,Maharashtra,71,Net 45,3106,ITM-026,SKU-ABPAPER-P120,Abrasive Sheet P120 230×280,Abrasives & Tooling,0.02,2000,42,39.77,9,4.3659,2000,2939.7,73.45,107.9
SUP-003,Mahindra CIE Automotive,Maharashtra,89,LC 60 Days at Sight,13756,ITM-027,SKU-CBDWHL-D126,CBN Grinding Wheel D126 100×10,Abrasives & Tooling,1.6,50,8400,9051.39,15,4.9742,50,1016.86,8190.2,839.61
SUP-028,Rane Holdings Ltd,Tamil Nadu,75,LC 90 Days,3016,ITM-029,SKU-GASK-PTFE3,PTFE Sheet Gasket 3mm 500×500,Seals & Gaskets,1.2,50,1450,1366.98,37,1.7552,50,1942.48,1990.45,60.47
SUP-048,NOCIL Ltd,Maharashtra,65,Advance 30% Net 60,413,ITM-034,SKU-FASTNR-STUD,M16 Stud Bolt B7/2H Set (10pcs),Fasteners,1.8,100,640,631.55,31,2.0979,103,2460.61,1085.9,63.28
